iter	Passed	Remaining
658	86127	44566
659	86834	44732
660	87392	44819
661	88096	44979
662	88366	44916
663	88509	44788
664	88755	44711
665	88904	44585
666	89119	44492
667	89354	44409
668	89591	44326
669	89777	44218
670	89910	44084
671	90063	43959
672	90194	43823
673	90325	43688
674	90449	43549
675	90563	43406
676	90665	43256
677	90818	43132
678	90968	43005
679	91096	42869
680	91264	42751
681	91377	42607
682	91486	42461
683	91587	42312
684	91680	42159
685	91776	42008
686	91865	41854
687	91997	41719
688	92132	41586
689	92224	41434
690	92326	41286
691	92571	41202
692	92724	41076
693	92930	40975
694	93223	40910
695	93437	40811
696	93556	40670
697	93699	40540
698	93810	40396
699	94062	40312
700	94232	40193
701	94375	40062
702	94509	39928
703	94647	39794
704	94826	39679
705	94947	39539
706	95069	39399
707	95158	39246
708	95262	39099
709	95351	38946
710	95491	38814
711	95652	38690
712	95749	38541
713	95833	38387
714	95924	38235
715	96015	38084
716	96158	37953
717	96304	37824
718	96447	37693
719	96542	37544
720	96625	37390
721	96710	37237
722	96797	37085
723	96891	36936
724	96980	36785
725	97088	36642
726	97172	36489
727	97255	36337
728	97338	36184
729	97428	36035
730	97516	35885
731	97621	35741
732	97713	35592
733	97795	35440
734	97883	35291
735	97979	35144
736	98137	35020
737	98243	34877
738	98332	34728
739	98485	34603
740	98652	34481
741	98748	34335
742	98839	34188
743	98952	34048
744	99148	33936
745	99316	33815
746	99411	33669
747	99509	33524
748	99616	33382
749	99708	33236
750	99827	33098
751	99968	32968
752	100080	32828
753	100170	32681
754	100257	32533
755	100345	32386
756	100434	32239
757	100533	32096
758	100622	31949
759	100716	31805
760	100798	31656
761	100882	31509
762	100974	31364
763	101079	31223
764	101169	31078
765	101252	30930
766	101338	30784
767	101435	30642
768	101559	30507
769	101659	30365
770	101743	30219
771	101833	30075
772	101922	29930
773	102027	29791
774	102115	29646
775	102197	29500
776	102292	29357
777	102411	29222
778	102559	29095
779	102676	28959
780	102781	28820
781	102922	28691
782	103011	28548
783	103137	28415
784	103258	28280
785	103412	28155
786	103697	28065
787	103911	27955
788	104198	27865
789	104353	27739
790	104490	27608
791	104614	27474
792	104803	27357
793	104983	27237
794	105109	27103
795	105229	26968
796	105355	26834
797	105485	26701
798	105613	26568
799	105729	26432
800	105867	26301
801	105995	26168
802	106117	26033
803	106205	25890
804	106300	25749
805	106410	25612
806	106554	25483
807	106679	25349
808	106791	25212
809	106901	25075
810	107015	24939
811	107185	24816
812	107400	24703
813	107519	24568
814	107617	24428
815	107709	24287
816	107792	24144
817	107876	24001
818	107965	23860
819	108060	23720
820	108166	23583
821	108247	23440
822	108336	23299
823	108427	23159
824	108526	23020
825	108642	22886
826	108748	22749
827	108842	22609
828	108945	22472
829	109113	22348
830	109224	22212
831	109323	22074
832	109429	21938
833	109543	21803
834	109640	21665
835	109729	21525
836	109830	21388
837	109936	21252
838	110046	21117
839	110204	20991
840	110350	20862
841	110452	20726
842	110550	20588
843	110646	20451
844	110781	20320
845	110877	20183
846	111003	20051
847	111224	19936
848	111419	19816
849	111647	19702
850	111776	19570
851	111862	19431
852	112051	19310
853	112191	19180
854	112286	19042
855	112389	18906
856	112477	18768
857	112583	18632
858	112728	18503
859	112859	18372
860	112958	18235
861	113052	18098
862	113139	17960
863	113228	17823
864	113324	17686
865	113436	17552
866	113573	17422
867	113684	17288
868	113828	17159
869	113976	17031
870	114085	16896
871	114182	16760
872	114288	16626
873	114398	16492
874	114528	16361
875	114630	16226
876	114737	16091
877	114824	15955
878	114918	15819
879	115010	15683
880	115111	15548
881	115210	15413
882	115309	15278
883	115399	15142
884	115501	15008
885	115598	14873
886	115702	14739
887	115808	14606
888	115906	14472
889	116007	14337
890	116109	14204
891	116204	14069
892	116291	13934
893	116388	13799
894	116486	13666
895	116586	13532
896	116679	13397
897	116778	13264
898	116906	13134
899	117007	13000
900	117106	12867
901	117189	12732
902	117271	12597
903	117359	12462
904	117446	12328
905	117549	12196
906	117638	12062
907	117725	11928
908	117813	11794
909	117909	11661
910	118013	11529
911	118119	11397
912	118212	11264
913	118298	11130
914	118388	10997
915	118495	10866
916	118604	10735
917	118704	10603
918	118800	10470
919	118902	10339
920	119056	10212
921	119192	10083
922	119451	9965
923	119621	9838
924	119732	9708
925	119837	9576
926	119964	9447
927	120059	9314
928	120170	9184
929	120282	9053
930	120395	8922
931	120497	8791
932	120596	8660
933	120692	8528
934	120819	8399
935	120929	8268
936	121027	8137
937	121240	8013
938	121446	7889
939	121546	7758
940	121710	7631
941	121864	7503
942	122069	7378
943	122322	7256
944	122502	7129
945	122598	6998
946	122724	6868
947	122922	6742
948	123031	6611
949	123136	6480
950	123268	6351
951	123603	6232
952	123875	6109
953	124056	5981
954	124166	5850
955	124274	5719
956	124408	5589
957	124524	5459
958	124619	5327
959	124733	5197
960	124832	5066
961	124943	4935
962	125039	4804
963	125133	4673
964	125247	4542
965	125382	4413
966	125517	4283
967	125627	4152
968	125957	4029
969	127183	3933
970	127776	3816
971	128255	3694
972	128876	3576
973	130973	3496
974	131408	3369
975	131717	3238
976	132031	3108
977	132153	2972
978	132293	2837
979	132399	2702
980	132545	2567
981	132663	2431
982	132801	2296
983	132914	2161
984	133009	2025
985	133099	1889
986	133212	1754
987	133315	1619
988	133471	1484
989	133606	1349
990	133712	1214
991	133807	1079
992	133895	943
993	134000	808
994	134108	673
995	134207	538
996	134302	404
997	134387	269
998	134494	134
999	134586	0
