iter	Passed	Remaining
601	5390	3563
602	5400	3555
603	5411	3548
604	5421	3539
605	5430	3530
606	5439	3521
607	5449	3513
608	5459	3504
609	5469	3496
610	5484	3491
611	5495	3484
612	5505	3475
613	5515	3467
614	5524	3458
615	5533	3449
616	5544	3441
617	5553	3432
618	5562	3423
619	5570	3414
620	5586	3409
621	5599	3402
622	5610	3395
623	5618	3385
624	5627	3376
625	5636	3367
626	5646	3358
627	5656	3350
628	5666	3342
629	5675	3333
630	5683	3323
631	5698	3318
632	5707	3309
633	5725	3305
634	5737	3297
635	5745	3288
636	5754	3279
